index,State,Abbreviation,count
0,Alabama,AL,2
1,Alaska,AK,0
2,Arizona,AZ,4
3,Arkansas,AR,0
4,California,CA,32
5,Colorado,CO,0
6,Connecticut,CT,7
7,Delaware,DE,0
8,District of Columbia,DC,68
9,Florida,FL,16
10,Georgia,GA,7
11,Hawaii,HI,1
12,Idaho,ID,1
13,Illinois,IL,7
14,Indiana,IN,2
15,Iowa,IA,4
16,Kansas,KS,3
17,Kentucky,KY,5
18,Louisiana,LA,2
19,Maine,ME,3
20,Montana,MT,0
21,Nebraska,NE,0
22,Nevada,NV,0
23,New Hampshire,NH,2
24,New Jersey,NJ,11
25,New Mexico,NM,1
26,New York,NY,137
27,North Carolina,NC,7
28,North Dakota,ND,0
29,Ohio,OH,4
30,Oklahoma,OK,2
31,Oregon,OR,6
32,Maryland,MD,9
33,Massachusetts,MA,8
34,Michigan,MI,5
35,Minnesota,MN,11
36,Mississippi,MS,0
37,Missouri,MO,7
38,Pennsylvania,PA,15
39,Rhode Island,RI,0
40,South Carolina,SC,3
41,South Dakota,SD,1
42,Tennessee,TN,4
43,Texas,TX,19
44,Utah,UT,0
45,Vermont,VT,0
46,Virginia,VA,13
47,Washington,WA,21
48,West Virginia,WV,0
49,Wisconsin,WI,5
50,Wyoming,WY,0
